umkm_name,umkm_category,total_seller_gain,total_project_value,total_revenue
ERA BARU GRAFIKA ( FRANSTEIN ),Kecil,0,45104500,0
KARYA EKA NADYAHUTAMA,Kecil,0,90853500,0
GLORIA MANDIRI TEKNIK,Kecil,0,15262500,0
CV ANUGERAH TUNAS MANDIRI,Kecil,0,52558500,0
PILAR KOKOH ABADI,Kecil,0,35075000,0
CV. ALZEREZA,Kecil,0,1649016000,0
MEKATRIKA KARYA SINERGI,Kecil,0,82173855,0
IRMA PERTIWI,Kecil,0,31095845,0
TOKO DIAMOND,Kecil,126548160,973587010,848190
PT TRIPUTRA SANJAYA,Kecil,0,203951400,0
YUVAIKA ESA SEJAHTERA,Kecil,52764600,148013886,351595
PT Hanna Integrasi Solusi,Kecil,0,16014516,0
DHAL ENERGI NUSANTARA,Kecil,0,40584000,0
Azira Florist,Kecil,0,3750000,0
PT KLIK VISI INDONESIA,Kecil,4189505,12287700,13919
INTEGRASINDO MITRA SEJATI,Kecil,0,98500000,0
PT. Kataji Bagja Prima,Kecil,0,27027526,0
ALVARIS CIPTA MANDIRI,Kecil,0,18670200,0
CV BERKAT CAHAYA ABADI,Kecil,0,94155750,0
INDOHES MAGNA PERSADA,Kecil,0,29824700,0
TIENTO INDONESIA JUARA,Kecil,0,29970000,0
CV Jaya Mulia Abadi,Kecil,0,135585120,0
PT. Pratama Technology Solution,Kecil,17243100,32456400,116112
Maruti Florist,Kecil,0,2200000,0
CV NIAT BAIK,Kecil,0,73881600,0
MUGENI INTI PRATAMA,Kecil,0,342967800,0
Saka Tunggal Mandiri Jaya,Kecil,0,39543750,0
CITRA CIPTA KREASI,Kecil,59887800,135913950,354956
PT. Lestari Sentosa,Kecil,0,234076800,0
PT INTERAKSI GLOBAL ONLINE,Kecil,0,12500000,0
BLANKENHEIM,Kecil,0,79875000,0
CV Adesya Tech Investment,Kecil,0,87801250,0
PT Cipta Budaya Teladan,Kecil,0,166700000,0
BUMINA SORA PRATAMA,Kecil,107794000,110532135,663051
PT BATARA MANDIRI BALERYAL,Kecil,74626070,500985905,493736
CV. GENERASI UNGGUL,Kecil,107933196,409880500,720992
Airul Stationary,Kecil,9797960,38658800,64260
PT. Nathan Sumber Sejahtera,Kecil,158918596,278109985,1077022
Macocentris Sakti,Kecil,79888704,115297920,544013
PT SPENTERA,Kecil,0,183150000,0
PT Global Inovasi Siber Indonesia,Kecil,0,199578000,0
BITNETINDO,Kecil,96744320,217060500,570470
SERIBU BUNGA PRINT,Kecil,35730000,128130000,238665
AGUNG MULTI JASA,Kecil,0,18925500,0
GELORA INOVASI INDONESIA,Kecil,0,281199996,0
CV STARFISH MEDIA GEMILANG,Kecil,2243590,23726250,11949
PT. Data Teknologi Solusindo,Kecil,0,216450000,0
SINERGI PROPERTI PRATAMA,Kecil,341605896,1066998916,2305712
Abimanyu Quality Services,Kecil,0,187590000,0
Anugrah Damai Pratama Solusi,Kecil,0,61600000,0
PENTA JAYA INDONESIA,Kecil,0,144762870,0
SYS SOLUSI INDONESIA,Kecil,0,47500000,0
PT.Buana Prima Intermedia,Kecil,47692200,54156900,321858
CV DUMA DATA,Kecil,0,1118000,0
KOPINFRA,Kecil,2197640,46815275,10036
HANATA PRATAMA INDONESIA,Kecil,0,28296675,0
Naruna Ceramic,Kecil,0,930000000,0
SENTRA SISTEM SOLUSI,Kecil,0,158600003,0
PT Juara Raga Adidaya,Kecil,195976000,199975000,888253
KNH PUTRI MENTARI,Kecil,0,8699958,0
PT KUSUMA MEGAHPERDANA,Kecil,0,164999946,0
Basindo Mediatama,Kecil,0,166500000,0
MITRA SEJAHTERA,Kecil,0,172500,0
UMBANSARI RUMBAI PERKASA,Kecil,0,54345600,0
DUA PUTRA MINAS,Kecil,0,55342657,0
PT Garam Media Edukasi (Bandung),Kecil,0,125100,0
PT SHAYN KREATIF STUDIO,Kecil,0,25730000,0
Kopel Bulog Kanwil Bengkulu,Kecil,3940340,6120540,20041
KOPKAR PELABUHAN TELUK BAYUR,Kecil,0,83700,0
ADA UNTUK DUNIA,Kecil,246525000,252199491,1676892
CITRA SANDHYA,Kecil,0,10357951,0
PT. KARIA ASRI,Kecil,0,312992522,0
CV. CIPTA KARYA,Kecil,0,323264711,0
ERSA ABADI,Kecil,0,33300000,0
TUNAS ENERGI CEMERLANG,Kecil,0,18951532,0
METRO UTAMA PRAKARSA,Kecil,0,559875674,0
BUNGSU JAYA,Kecil,0,26644377,0
HOKASE KUMITA,Kecil,9203610,14261224,51907
PT. Adrin Sorin Sentosa,Kecil,0,160839000,0
HARUM MANIS,Kecil,0,108070710,0
GARAM JAYA,Kecil,0,524567684,0
AMNESMEN TRY PUTRA DESA,Kecil,0,23179020,0
IKA HARAPAN,Kecil,0,1919069842,0
MZAIT,Kecil,0,65934000,0
CV. KARIM NISAM PUTRA,Kecil,0,528100260,0
MEUTIA MITRA NIAGA,Kecil,155280992,215435850,701287
YASNAYA POLYANA,Kecil,0,101409933,0
INDAH TUAH RIZKI,Kecil,0,228549000,0
ZAYFA PUTRA REZEKI,Kecil,0,31928731,0
MIRCO JAYA,Kecil,0,43012278,0
Meurah Mulia Solutions,Kecil,0,265001400,0
Gilang Pratama Teknik,Kecil,0,4712000,0
TEGUH UTAMA JAYA,Kecil,27370000,679308008,183085
USAHA BETA JAYA,Kecil,40820400,82934100,274933
CV. WAJA PALAPA,Kecil,0,353823600,0
Tam Bintang,Kecil,0,624264000,0
Karya Tambon Putra,Kecil,47164400,53557500,318253
MULTARY NIAGA,Kecil,0,753029078,0
PUTRA IKA LIMA,Kecil,0,365682840,0
Rizky Graha Pratama,Kecil,0,25308000,0
ADREENA PERKASA ABADI,Kecil,0,37296000,0
Putra Brothers,Kecil,0,6907530,0
CV. GULAM SEJAHTERA,Kecil,0,42868200,0
Tribes Barona,Kecil,0,46497900,0
PUTRA ULEE TANOH,Kecil,0,203913027,0
MITRA PROJECK,Kecil,0,21107760,0
CV MITRA JAYA TEHNIK,Kecil,0,314130000,0
EMERALD GROUP,Kecil,0,195998250,0
GOLDEN JAYA,Kecil,0,72705000,0
INDO CHEMICAL TECHNIC,Kecil,0,129969900,0
ANTONI PERKASA DEWANTARA,Kecil,0,1109540016,0
HEJA PERKASA,Kecil,56636400,64313400,382934
CV ARDILLA,Kecil,0,45288000,0
PT. FASGRO UNIVERSAL,Kecil,115640000,130980000,521285
TAZAKI RAYA ARTHA,Kecil,0,259004625,0
JAYA COMPANY,Kecil,0,20313000,0
CV. Kana Kata,Kecil,8057070,8111880,44965
Madat Ceudah,Kecil,0,1263495240,0
IKA LIMA DEWANTARA,Kecil,0,38850000,0
Sumber Ilham,Kecil,0,24420000,0
KOPERASI KARYAWAN NURANI KEBUN KALISEPANJANG,Kecil,2917500,18500000,16210
TIGA WARNA GRAFIKA,Kecil,0,9707000,0
CEDAR LABUHAN KINABALU,Kecil,297504992,644350560,1328915
PRIMKOKAR PERHUTANI KPH BOJONEGORO,Kecil,631732,3852810,10
KIRANA CIPTA SURYA,Kecil,2778300,5461200,14641
CV. GUNUNG EMAS,Kecil,0,1063110270,0
Primkokar Majalengka,Kecil,3783285,19694880,17814
Koperasi Makmur Sauyunan,Kecil,0,111654900,0
NATA ASRI,Kecil,0,886977001,0
PD LIMA MOTOR,Kecil,0,157936999,0
WIN WORLD ASIH,Kecil,128498000,291628800,578601
PT JASA TIRTA LUHUR,Kecil,0,119468400,0
BINTANG DUTA NIAGA,Kecil,0,74371000,0
ANUGERAH SEJATI,Kecil,12510300,212188139,71383
CV.Bangun Karya Indah,Kecil,0,217848598,0
MULTI MITRA,Kecil,0,154145345,0
Citra Mandiri ,Kecil,6734070,142980765,34231
Koperasi Karyawan Sejahtera,Kecil,0,5427000,0
SOFWAN SULTHAN,Kecil,0,268896380,0
cv. surya pendingin,Kecil,0,13320000,0
PT RIZQIA JAYA,Kecil,276010296,1456263079,1875595
JAZIRAH BAROKAH,Kecil,91673600,172557779,627590
CV. Naira,Kecil,0,108507772,0
Reddy Setiadi,Kecil,9925000,47000000,65115
CV AKBAR JAYA,Kecil,0,1130855049,0
PT. FRIDER,Kecil,0,1244388810,0
CV. Lamadah Agung,Kecil,0,331751250,0
PT. MARYUNI BAROKAH ABADI,Kecil,306227508,346980450,1489482
DUA BERSAUDARA,Kecil,2756250,183731640,14507
UD MEUBEL MODERN,Kecil,0,1311155865,0
EL HAVEN,Kecil,0,135061470,0
ANEKA JAYA SENTOSA,Kecil,0,90830467,0
JUSTE FIDE,Kecil,0,37970547,0
Rachman Berkah Jaya,Kecil,0,19330650,0
BANGUN SUKSES ABADI,Kecil,0,34132500,0
KOPERASI KONSUMEN KARYAWAN KOMERSIL BALIKPAPAN,Kecil,57819390,383117729,349623
INDOTECH CITRA SINERGI,Kecil,0,155605350,0
ARDIRA CIPTA PERKASA,Kecil,0,217535224,0
CV. JAYAMUDITA,Kecil,0,182475675,0
CV. Mutiara Indah Gemilang,Kecil,0,49533750,0
PT. KARYA PATRA ABADI,Kecil,0,321529815,0
cv tetra technology,Kecil,1168020,3742550,5106
